"Zone","Mosque ID","Mosque Name","Treatment Name","Mosque Name on Ground","Imam Name","Mosque Built Date","Shrine Name","Women’s prayer section","Rural = 1 / Urban = 2","WhatsApp Location","Latitude","Longitude","Closest Mosque (WhatsApp Location)","Closest Mosque (Latitude)","Closest Mosque (Longitude)","Photo (Inside)","Photo (Outside)","Comments"
"Lahore","klysr","Jamia Masjid Darbar Madu Laal Hussain Lahore","Women Secular Info Share","Jamia Masjid Darbar Madoh Laal Hussain","Qari Tanveer sab","2012.0","Madoh Laal Hussain","","2.0","https://maps.google.com/maps?q=31.5856288%2C74.3742518&z=17&hl=en","31.58563","74.37425","","","","https://drive.google.com/open?id=1_cHM-eiykRp8CPVA1M2RZ-4BYRIzV3kV","https://drive.google.com/open?id=1BICpKMbXfQ2YNjoqkeKahQOsHeV2GPIq",""
"Lahore","xuynq","Jamia Masjid Ghosia Masti Gate Lahore","Control","Jamia Masjid Ghosia Masti Gate Lahore","Qari Naeem ur Rehman","1930.0","","","2.0","https://maps.google.com/maps?q=31.5884155%2C74.3190388&z=17&hl=en","31.5884155","74.3190388","","","","https://drive.google.com/open?id=1QGEfcnx1TqdnyNh49u227GSkvHSLIFDN","https://drive.google.com/open?id=1EWh1wYRomzuc_q17BUhrGFYpT6-YsWYw",""
"Lahore","xqvon","Jamia Masjid Qurban Ali Shah Lahore / Darbar hazrat Qurban Ali shah","Control","Jamia Masjid Darbar Qurban Ali Shah","Qari Shahid aslam","1940.0","Qurban Ali shah","","2.0","https://maps.google.com/maps?q=31.5883979%2C74.3940933&z=17&hl=en","31.5884","74.39409","","","","https://drive.google.com/open?id=1Emo4eURiL-L2d7JQ985fFa3vmrkSU68u","https://drive.google.com/open?id=1xlaQEx8qgwsdjSNZC2mcq-vCgMLKcuch",""
"Lahore","wvmxf","Jamia Masjid Hanifia Railway Road Gawaal Mandi Lahore","Community Religious No Info Share","Jamia Masjid Hanfia Railway","Moulana sheer zaman","1900.0","","","2.0","https://maps.google.com/maps?q=31.5734758%2C74.3221654&z=17&hl=en","31.57348","74.32217","","","","https://drive.google.com/open?id=1HcmO-vwPUaUHr0CjXBD9j4Tk7OfZDpka","https://drive.google.com/open?id=1qhXJ0Rg25OUeWrKLVgLRKn1BDH2jxlSy",""
"Lahore","zbrwj","Jamia Masjid Allah Joya Aabkaari Road Lahore","Community Religious No Info Share","Jamia Masjid Allah Joya Aabkaari Road","Aziz Rabani","1920.0","","","2.0","https://maps.google.com/maps?q=31.5743089%2C74.3114858&z=17&hl=en","31.57431","74.31149","","","","https://drive.google.com/open?id=1F6DVXJ2IUexy6v78_iaoA0vZfWTuaiF5","https://drive.google.com/open?id=1Jh9GjKKDjUZD4P2oHg_BAnOvkW5XeCen",""
"Lahore","kgtfe","Jamia Masjid Laal Shah Alam Market Lahore","Control","Jamia Masjid Laal Shah Alam Market","Riaz awaisi","1925.0","","","2.0","https://maps.google.com/maps?q=31.5773349%2C74.3171632&z=17&hl=en","31.57733","74.31716","","","","https://drive.google.com/open?id=1LAX8Q4tLTx-0Z_UOA8q2blhA_jajfTnE, https://drive.google.com/open?id=1iINc8bVAcwkBZPg0tchYOQXUaPTGeWFi","https://drive.google.com/file/d/1RMXRYgCgveSewAJwnhmeXer5WbcvGY5j",""
"Lahore","hswif","Jamia Masjid Barkat Bibi Lahore","Women Religious No Info Share","جامعہ مسجد برکت بیبی","Naseer_zia","1980.0","","","2.0","https://maps.google.com/maps?q=31.5873974%2C74.3040215&z=17&hl=en","31.5874","74.30402","","","","https://drive.google.com/open?id=12Pos9A782qERH9H5fs3Ld7nN6YnKpaf8","https://drive.google.com/open?id=1FxjmIOMvtOxnlNyAfhudwwFiimWhJV2f",""
"Lahore","telou","Jamia Masjid Peshawari Neela Gumbat Lahore","Women Religious No Info Share","Jamia Masjid Peshawari Neela Gumbat Lahore","Mussayab_Akram","1925.0","","","2.0","https://maps.google.com/maps?q=31.5691184%2C74.3111879&z=17&hl=en","31.5691184","74.3111879","","","","https://drive.google.com/open?id=1A-dvB0iiEMTi1IcEp_H3SVSXp-sOSh2u","https://drive.google.com/open?id=1UmI2zDxvF2PJPHkm9jKPSevcGLb2cExx",""
"Lahore","kkrvm","Jamia Masjid Neevin Bhati Gate Lahore","Community Secular No Info Share","Jamia Masjid Neevin Bhati Gate Lahore","Moulana Muhammad Amin","1930.0","","","2.0","https://maps.google.com/maps?q=31.5817083%2C74.3049283&z=17&hl=en","31.5817083","74.3049283","","","","https://drive.google.com/open?id=1Ig9PIzdAU7r2km9PJP2Al_UpTswM72Eg","https://drive.google.com/open?id=1cVPP3avDSRjsamGRk188ArARddqBS0gu",""
"Lahore","oiyzt","Jamia Masjid Abdul Ghani Lahore","Community Religious No Info Share","Jamia Masjid Abdul Ghani","Khalil_ur_Rehman","1960.0","Shah Abdul Ghani","","2.0","https://maps.google.com/maps?q=31.5848695%2C74.3767757&z=17&hl=en","31.58487","74.37678","","","","https://drive.google.com/open?id=17QtOxWYxvII7vukhmUYJzaEiDR4IqxHM","https://drive.google.com/file/d/136e2a420Q42dJRq0yxTOR6ez07sOFpN7/view",""
"Lahore","gnvlx","Jamia Masjid Shaleha Ghumbo Mochi Gate Lahore","Women Religious No Info Share","gnvlx	جامع مسجد صالحہ کمبوہ موچی گیٹ لاہور	Jamia Masjid Shaleha Ghumbo Mochi Gate Lahore","Not Found","","","","2.0","https://maps.google.com/maps?q=31.5773126%2C74.3215007&z=17&hl=en","31.5773126","74.3215007","","","","https://drive.google.com/open?id=1wSQioLU3ZBXoURCQhL9lZeBA9sYrtPfr, https://drive.google.com/open?id=16th3w86NxhnUmjHsJx0IvG0M_l_lse8S, https://drive.google.com/open?id=10T7x5sDZnP7xKTQKKIbHH7wreTtKWbOA, https://drive.google.com/open?id=1cbVAXUzIPojIpEegV2exqtpznPBJ7QnH, https://drive.google.com/open?id=1ilHIHxV5_w0CJKMBaBuYmOncr1CDkWRR","https://drive.google.com/open?id=1vlQYx1jooZ20TFV3vP56nzsHu4qXTF-v, https://drive.google.com/open?id=1J7M8p3qnGP7oo3dYAMRHOQUjhFyyTx-b, https://drive.google.com/open?id=137W7lTByUwhdpNSOv_Zqb9dIJhCPxezL, https://drive.google.com/open?id=19ns_b8Jl4t-N9bQHsF95TNwZLuah93Zb, https://drive.google.com/open?id=1NGRsIJbXJLeq7v6gH80YftXVkezgHzeq",""
"Lahore","oonhe","Jamia Masjid Bhohaar Wali Lohari Gate Lahore","Community Secular Info Share","Jaima majid bhohaar wali lahore Gate","Liaqat Ali","2002.0","","","2.0","https://maps.google.com/maps?q=31.5813669%2C74.3137182&z=17&hl=en","31.5813669","74.3137182","","","","https://drive.google.com/open?id=1zKWBBCSB0E4Z0_FJ0Hyu0-xC3iFhLSRA","https://drive.google.com/open?id=14BYIHkC0fZdvN078JsWxG5CxvITbe41g",""
"Lahore","kpwne","Jamia Masjid Mian Karaam Bakhs Pani Wala Talaab Lahore","Control","Jamia Masjid Mian Karaam Bakhs Pani Wala Talaab Lahore","Sabir_Hussain","1940.0","","","2.0","https://maps.google.com/maps?q=31.5839243%2C74.3165669&z=17&hl=en","31.5839243","74.3165669","","","","https://drive.google.com/file/d/1BX_br0ho5SGkqi6l-4Y1AqJDnbiPPP3y/view","https://drive.google.com/file/d/1qnKEyMLihKcNEk19PXBM9MB7kSC0utpu/view",""
"Lahore","kscal","Jamia Masjid Noor Din Pepal Wehra Lahore","Control","kscal	Jamia Masjid Noor Din Pepal Wehra Lahore","Muhammad Arif","2020.0","","","2.0","https://maps.google.com/maps?q=31.5790724%2C74.3201252&z=17&hl=en","31.57907","74.32013","","","","https://drive.google.com/file/d/1KBVrTDZtyLoNoMnI3cqdARp5QT2zHW2o/view","https://drive.google.com/open?id=1sJ72mR1gDjs5E-Ifjrlj2ngyGkLu9NzT",""
